0 [1, 0, 3, 7, 5, 2, 6, 4, 9, 10, 11, 8]
f [1, 2, 3, 7, 5, 0, 6, 4, 9, 10, 11, 8]
g [1, 6, 3, 7, 5, 2, 0, 4, 9, 10, 11, 8]
c [1, 3, 0, 7, 5, 2, 6, 4, 9, 10, 11, 8]
e [1, 5, 3, 7, 0, 2, 6, 4, 9, 10, 11, 8]
a [0, 1, 3, 7, 5, 2, 6, 4, 9, 10, 11, 8]
g [1, 2, 3, 7, 5, 6, 0, 4, 9, 10, 11, 8]
i [1, 2, 3, 7, 5, 9, 6, 4, 0, 10, 11, 8]
j [1, 2, 3, 7, 5, 10, 6, 4, 9, 0, 11, 8]
k [1, 2, 3, 7, 5, 11, 6, 4, 9, 10, 0, 8]
e [1, 2, 3, 7, 0, 5, 6, 4, 9, 10, 11, 8]
c [1, 2, 0, 7, 5, 3, 6, 4, 9, 10, 11, 8]
a [0, 2, 3, 7, 5, 1, 6, 4, 9, 10, 11, 8]
l [1, 6, 3, 7, 5, 2, 8, 4, 9, 10, 11, 0]
h [1, 6, 3, 7, 5, 2, 4, 0, 9, 10, 11, 8]
d [1, 6, 3, 0, 5, 2, 7, 4, 9, 10, 11, 8]
j [1, 6, 3, 7, 5, 2, 10, 4, 9, 0, 11, 8]
k [1, 6, 3, 7, 5, 2, 11, 4, 9, 10, 0, 8]
f [1, 6, 3, 7, 5, 0, 2, 4, 9, 10, 11, 8]
c [1, 6, 0, 7, 5, 2, 3, 4, 9, 10, 11, 8]
h [1, 3, 4, 7, 5, 2, 6, 0, 9, 10, 11, 8]
f [1, 3, 2, 7, 5, 0, 6, 4, 9, 10, 11, 8]
g [1, 3, 6, 7, 5, 2, 0, 4, 9, 10, 11, 8]
d [1, 3, 7, 0, 5, 2, 6, 4, 9, 10, 11, 8]
f [1, 5, 3, 7, 2, 0, 6, 4, 9, 10, 11, 8]
i [1, 5, 3, 7, 9, 2, 6, 4, 0, 10, 11, 8]
j [1, 5, 3, 7, 10, 2, 6, 4, 9, 0, 11, 8]
a [0, 5, 3, 7, 1, 2, 6, 4, 9, 10, 11, 8]
f [2, 1, 3, 7, 5, 0, 6, 4, 9, 10, 11, 8]
e [5, 1, 3, 7, 0, 2, 6, 4, 9, 10, 11, 8]
l [1, 2, 3, 7, 5, 6, 8, 4, 9, 10, 11, 0]
h [1, 2, 3, 7, 5, 6, 4, 0, 9, 10, 11, 8]
d [1, 2, 3, 0, 5, 6, 7, 4, 9, 10, 11, 8]
j [1, 2, 3, 7, 5, 6, 10, 4, 9, 0, 11, 8]
k [1, 2, 3, 7, 5, 6, 11, 4, 9, 10, 0, 8]
c [1, 2, 0, 7, 5, 6, 3, 4, 9, 10, 11, 8]
b [1, 0, 3, 7, 5, 6, 2, 4, 9, 10, 11, 8]
j [1, 2, 3, 7, 5, 9, 6, 4, 10, 0, 11, 8]
e [1, 2, 3, 7, 0, 9, 6, 4, 5, 10, 11, 8]
k [1, 2, 3, 7, 5, 10, 6, 4, 9, 11, 0, 8]
i [1, 2, 3, 7, 5, 10, 6, 4, 0, 9, 11, 8]
g [1, 2, 3, 7, 5, 10, 0, 4, 9, 6, 11, 8]
e [1, 2, 3, 7, 0, 10, 6, 4, 9, 5, 11, 8]
l [1, 2, 3, 7, 5, 11, 6, 4, 9, 10, 8, 0]
j [1, 2, 3, 7, 5, 11, 6, 4, 9, 0, 10, 8]
h [1, 2, 3, 7, 5, 11, 6, 0, 9, 10, 4, 8]
g [1, 2, 3, 7, 5, 11, 0, 4, 9, 10, 6, 8]
i [1, 2, 3, 7, 9, 5, 6, 4, 0, 10, 11, 8]
j [1, 2, 3, 7, 10, 5, 6, 4, 9, 0, 11, 8]
b [1, 0, 3, 7, 2, 5, 6, 4, 9, 10, 11, 8]
a [0, 2, 3, 7, 1, 5, 6, 4, 9, 10, 11, 8]
h [1, 2, 4, 7, 5, 3, 6, 0, 9, 10, 11, 8]
g [1, 2, 6, 7, 5, 3, 0, 4, 9, 10, 11, 8]
d [1, 2, 7, 0, 5, 3, 6, 4, 9, 10, 11, 8]
b [1, 0, 2, 7, 5, 3, 6, 4, 9, 10, 11, 8]
b [2, 0, 3, 7, 5, 1, 6, 4, 9, 10, 11, 8]
e [5, 2, 3, 7, 0, 1, 6, 4, 9, 10, 11, 8]
k [1, 6, 3, 7, 5, 2, 8, 4, 9, 10, 0, 11]
h [1, 6, 3, 7, 5, 2, 8, 0, 9, 10, 11, 4]
l [1, 6, 3, 7, 5, 2, 4, 8, 9, 10, 11, 0]
k [1, 6, 3, 7, 5, 2, 4, 11, 9, 10, 0, 8]
d [1, 6, 3, 0, 5, 2, 4, 7, 9, 10, 11, 8]
c [1, 6, 0, 7, 5, 2, 4, 3, 9, 10, 11, 8]
h [1, 6, 3, 4, 5, 2, 7, 0, 9, 10, 11, 8]
c [1, 6, 0, 3, 5, 2, 7, 4, 9, 10, 11, 8]
k [1, 6, 3, 7, 5, 2, 10, 4, 9, 11, 0, 8]
i [1, 6, 3, 7, 5, 2, 10, 4, 0, 9, 11, 8]
